speedup,sync_updates_per_s,async_updates_per_s,repetition,async_elapsed_ms,async_total_updates,node_id,node_latency_ms,sync_elapsed_ms,sync_rounds
15.5,9.9,153.68,1,5043,775,1,10,5051,10
15.5,9.9,153.68,1,5043,775,1,10,5051,10
15.5,9.9,153.68,1,5043,775,3,20,5051,10
15.5,9.9,153.68,1,5043,775,4,50,5051,10
15.5,9.9,153.68,1,5043,775,5,500,5051,10
15.42,9.93,153.65,2,5018,771,1,10,5033,10
15.42,9.93,153.65,2,5018,771,1,10,5033,10
15.42,9.93,153.65,2,5018,771,3,20,5033,10
15.42,9.93,153.65,2,5018,771,4,50,5033,10
15.42,9.93,153.65,2,5018,771,5,500,5033,10
15.12,9.96,148.91,3,5077,756,1,10,5019,10
15.12,9.96,148.91,3,5077,756,1,10,5019,10
15.12,9.96,148.91,3,5077,756,3,20,5019,10
15.12,9.96,148.91,3,5077,756,4,50,5019,10
15.12,9.96,148.91,3,5077,756,5,500,5019,10
15.64,9.95,155.41,4,5032,782,1,10,5025,10
15.64,9.95,155.41,4,5032,782,1,10,5025,10
15.64,9.95,155.41,4,5032,782,3,20,5025,10
15.64,9.95,155.41,4,5032,782,4,50,5025,10
15.64,9.95,155.41,4,5032,782,5,500,5025,10
15.68,9.96,155.52,5,5041,784,1,10,5018,10
15.68,9.96,155.52,5,5041,784,1,10,5018,10
15.68,9.96,155.52,5,5041,784,3,20,5018,10
15.68,9.96,155.52,5,5041,784,4,50,5018,10
15.68,9.96,155.52,5,5041,784,5,500,5018,10
15.48,9.9,154.37,6,5014,774,1,10,5053,10
15.48,9.9,154.37,6,5014,774,1,10,5053,10
15.48,9.9,154.37,6,5014,774,3,20,5053,10
15.48,9.9,154.37,6,5014,774,4,50,5053,10
15.48,9.9,154.37,6,5014,774,5,500,5053,10
15.6,9.91,154.98,7,5033,780,1,10,5047,10
15.6,9.91,154.98,7,5033,780,1,10,5047,10
15.6,9.91,154.98,7,5033,780,3,20,5047,10
15.6,9.91,154.98,7,5033,780,4,50,5047,10
15.6,9.91,154.98,7,5033,780,5,500,5047,10
15.46,9.93,154.01,8,5019,773,1,10,5033,10
15.46,9.93,154.01,8,5019,773,1,10,5033,10
15.46,9.93,154.01,8,5019,773,3,20,5033,10
15.46,9.93,154.01,8,5019,773,4,50,5033,10
15.46,9.93,154.01,8,5019,773,5,500,5033,10
15.16,9.91,149.74,9,5062,758,1,10,5044,10
15.16,9.91,149.74,9,5062,758,1,10,5044,10
15.16,9.91,149.74,9,5062,758,3,20,5044,10
15.16,9.91,149.74,9,5062,758,4,50,5044,10
15.16,9.91,149.74,9,5062,758,5,500,5044,10
15.36,9.71,152.9,10,5023,768,1,10,5150,10
15.36,9.71,152.9,10,5023,768,1,10,5150,10
15.36,9.71,152.9,10,5023,768,3,20,5150,10
15.36,9.71,152.9,10,5023,768,4,50,5150,10
15.36,9.71,152.9,10,5023,768,5,500,5150,10
