repetition,accuracy_after,accuracy_before,accuracy_drop,bias_loss,loss_after,loss_before,penalty_fn,staleness_factor,staleness_gap
1,0.65,0.6525,0.0025,7.6e-4,1.0768,1.07604,hyperbolic,1.0,0
1,0.65,0.6525,0.0025,7.6e-4,1.0768,1.07604,exponential_05,1.0,0
1,0.65,0.6525,0.0025,7.6e-4,1.0768,1.07604,exponential_01,1.0,0
1,0.65,0.6525,0.0025,7.6e-4,1.0768,1.07604,no_penalty,1.0,0
1,0.6475,0.64375,-0.00375,0.0,1.07354,1.07354,hyperbolic,0.5,1
1,0.645,0.64375,-0.00125,3.0e-5,1.07357,1.07354,exponential_05,0.60653,1
1,0.64625,0.64375,-0.0025,1.8e-4,1.07372,1.07354,exponential_01,0.90484,1
1,0.645,0.64375,-0.00125,2.5e-4,1.07379,1.07354,no_penalty,1.0,1
1,0.64625,0.64625,0.0,-0.0002,1.07167,1.07186,hyperbolic,0.33333,2
1,0.64625,0.64625,0.0,-2.1e-4,1.07165,1.07186,exponential_05,0.36788,2
1,0.645,0.64625,0.00125,-0.0003,1.07157,1.07186,exponential_01,0.81873,2
1,0.64375,0.64625,0.0025,-2.7e-4,1.07159,1.07186,no_penalty,1.0,2
1,0.64875,0.64875,0.0,-1.2e-4,1.06687,1.06699,hyperbolic,0.25,3
1,0.64875,0.64875,0.0,-1.1e-4,1.06688,1.06699,exponential_05,0.22313,3
1,0.64625,0.64875,0.0025,-0.0002,1.06679,1.06699,exponential_01,0.74082,3
1,0.64625,0.64875,0.0025,-1.5e-4,1.06684,1.06699,no_penalty,1.0,3
1,0.645,0.64625,0.00125,-1.7e-4,1.06448,1.06465,hyperbolic,0.16667,5
1,0.645,0.64625,0.00125,-9.0e-5,1.06457,1.06465,exponential_05,0.08208,5
1,0.64625,0.64625,0.0,-0.0005,1.06415,1.06465,exponential_01,0.60653,5
1,0.65,0.64625,-0.00375,-6.5e-4,1.064,1.06465,no_penalty,1.0,5
