buffer_size,repetition,effective_update_ratio,preservation_ratio,disconnect_rate,dropped_overflow,flushed_from_buffer,sent_directly,total_rounds,total_useful_updates
0,1,1.0,1.0,0.0,0,0,100,100,100
0,2,1.0,1.0,0.0,0,0,100,100,100
0,3,1.0,1.0,0.0,0,0,100,100,100
0,4,1.0,1.0,0.0,0,0,100,100,100
0,5,1.0,1.0,0.0,0,0,100,100,100
0,6,1.0,1.0,0.0,0,0,100,100,100
0,7,1.0,1.0,0.0,0,0,100,100,100
0,8,1.0,1.0,0.0,0,0,100,100,100
0,9,1.0,1.0,0.0,0,0,100,100,100
0,10,1.0,1.0,0.0,0,0,100,100,100
0,1,0.91,0.0,0.1,9,0,91,100,91
0,2,0.9,0.0,0.1,10,0,90,100,90
0,3,0.9,0.0,0.1,10,0,90,100,90
0,4,0.91,0.0,0.1,9,0,91,100,91
0,5,0.86,0.0,0.1,14,0,86,100,86
0,6,0.89,0.0,0.1,11,0,89,100,89
0,7,0.9,0.0,0.1,10,0,90,100,90
0,8,0.9,0.0,0.1,10,0,90,100,90
0,9,0.93,0.0,0.1,7,0,93,100,93
0,10,0.89,0.0,0.1,11,0,89,100,89
0,1,0.86,0.0,0.2,14,0,86,100,86
0,2,0.83,0.0,0.2,17,0,83,100,83
0,3,0.81,0.0,0.2,19,0,81,100,81
0,4,0.78,0.0,0.2,22,0,78,100,78
0,5,0.75,0.0,0.2,25,0,75,100,75
0,6,0.84,0.0,0.2,16,0,84,100,84
0,7,0.78,0.0,0.2,22,0,78,100,78
0,8,0.79,0.0,0.2,21,0,79,100,79
0,9,0.84,0.0,0.2,16,0,84,100,84
0,10,0.83,0.0,0.2,17,0,83,100,83
0,1,0.7,0.0,0.3,30,0,70,100,70
0,2,0.71,0.0,0.3,29,0,71,100,71
0,3,0.73,0.0,0.3,27,0,73,100,73
0,4,0.72,0.0,0.3,28,0,72,100,72
0,5,0.64,0.0,0.3,36,0,64,100,64
0,6,0.75,0.0,0.3,25,0,75,100,75
0,7,0.7,0.0,0.3,30,0,70,100,70
0,8,0.69,0.0,0.3,31,0,69,100,69
0,9,0.72,0.0,0.3,28,0,72,100,72
0,10,0.71,0.0,0.3,29,0,71,100,71
0,1,0.52,0.0,0.5,48,0,52,100,52
0,2,0.48,0.0,0.5,52,0,48,100,48
0,3,0.54,0.0,0.5,46,0,54,100,54
