version,round,loss,accuracy,repetition
1,1,4.43737,0.2675,1
2,2,2.5724,0.30125,1
3,3,1.85824,0.37,1
4,4,1.94421,0.365,1
5,5,1.63662,0.46875,1
6,6,1.56674,0.51875,1
7,7,1.48331,0.5225,1
8,8,1.46859,0.51,1
9,9,1.49202,0.4825,1
10,10,1.53752,0.45125,1
11,11,1.45943,0.53875,1
12,12,1.49356,0.52125,1
13,13,1.54167,0.49375,1
14,14,1.44187,0.53,1
15,15,1.4039,0.525,1
16,16,1.36602,0.55625,1
17,17,1.36989,0.545,1
18,18,1.34431,0.5475,1
19,19,1.3268,0.54375,1
20,20,1.27542,0.56625,1
21,21,1.23822,0.58375,1
22,22,1.22028,0.5875,1
23,23,1.22562,0.58625,1
24,24,1.23608,0.565,1
25,25,1.20907,0.59375,1
26,26,1.19291,0.5975,1
27,27,1.17665,0.6075,1
28,28,1.16412,0.61125,1
29,29,1.17158,0.60125,1
30,30,1.15939,0.61,1
31,31,1.13294,0.62625,1
32,32,1.13904,0.6175,1
33,33,1.14803,0.61625,1
34,34,1.15958,0.605,1
35,35,1.17327,0.595,1
36,36,1.16008,0.605,1
37,37,1.16381,0.60625,1
38,38,1.14018,0.615,1
39,39,1.14455,0.6075,1
40,40,1.13195,0.6175,1
41,41,1.12178,0.61625,1
42,42,1.114,0.6125,1
43,43,1.09249,0.63,1
44,44,1.09813,0.6225,1
45,45,1.07938,0.64125,1
46,46,1.06831,0.64375,1
47,47,1.07305,0.64,1
48,48,1.08096,0.63375,1
49,49,1.08992,0.63,1
50,50,1.07319,0.63875,1
51,51,1.08235,0.63,1
52,52,1.06746,0.6475,1
53,53,1.05471,0.65625,1
54,54,1.06322,0.65,1
55,55,1.07254,0.64,1
56,56,1.08255,0.62875,1
57,57,1.09323,0.62625,1
58,58,1.08468,0.62625,1
59,59,1.07824,0.62875,1
60,60,1.08238,0.63,1
61,61,1.0929,0.61875,1
62,62,1.07842,0.6275,1
63,63,1.08248,0.6275,1
64,64,1.06941,0.63625,1
65,65,1.07907,0.6275,1
66,66,1.08313,0.62375,1
67,67,1.07101,0.6275,1
68,68,1.05858,0.6425,1
69,69,1.06754,0.63,1
70,70,1.06122,0.6375,1
71,71,1.04967,0.645,1
72,72,1.05302,0.6425,1
73,73,1.04295,0.64875,1
74,74,1.03404,0.655,1
75,75,1.02587,0.65875,1
76,76,1.0331,0.655,1
77,77,1.02406,0.66625,1
78,78,1.01773,0.6675,1
79,79,1.02027,0.65875,1
80,80,1.0231,0.65625,1
81,81,1.02624,0.65375,1
82,82,1.02084,0.65375,1
83,83,1.01562,0.65875,1
84,84,1.00772,0.6625,1
85,85,1.00276,0.665,1
86,86,0.99568,0.665,1
87,87,0.98726,0.66875,1
88,88,0.98137,0.6775,1
89,89,0.9742,0.68125,1
90,90,0.97656,0.6775,1
91,91,0.97174,0.675,1
92,92,0.97442,0.67875,1
93,93,0.97938,0.6775,1
94,94,0.97373,0.67625,1
95,95,0.96925,0.67625,1
96,96,0.96244,0.67625,1
97,97,0.96497,0.68,1
98,98,0.95877,0.6825,1
99,99,0.95336,0.685,1
100,100,0.95566,0.6825,1
101,101,0.95074,0.68875,1
102,102,0.95478,0.68375,1
103,103,0.95708,0.68375,1
104,104,0.9596,0.67875,1
105,105,0.96233,0.6775,1
106,106,0.95732,0.67875,1
107,107,0.95302,0.68,1
108,108,0.94854,0.6825,1
109,109,0.95105,0.6775,1
110,110,0.94701,0.67875,1
111,111,0.9507,0.6775,1
112,112,0.94578,0.68125,1
113,113,0.94804,0.67875,1
114,114,0.94346,0.68625,1
115,115,0.93926,0.685,1
116,116,0.94269,0.6825,1
117,117,0.93876,0.68375,1
118,118,0.9411,0.68,1
119,119,0.94465,0.67875,1
120,120,0.94057,0.67875,1
121,121,0.93612,0.68625,1
122,122,0.93953,0.6825,1
123,123,0.94169,0.67875,1
124,124,0.93797,0.68,1
125,125,0.93367,0.685,1
126,126,0.9298,0.69375,1
127,127,0.93303,0.68875,1
128,128,0.9364,0.6875,1
129,129,0.93278,0.685,1
130,130,0.92903,0.69,1
131,131,0.93101,0.68875,1
132,132,0.92719,0.6925,1
133,133,0.93039,0.68875,1
134,134,0.92689,0.6925,1
135,135,0.92335,0.6925,1
136,136,0.9199,0.69625,1
137,137,0.92164,0.69375,1
138,138,0.91842,0.695,1
139,139,0.9151,0.695,1
140,140,0.91199,0.6975,1
141,141,0.91379,0.69375,1
142,142,0.91668,0.69125,1
143,143,0.91325,0.69375,1
144,144,0.9102,0.6975,1
145,145,0.90714,0.69625,1
146,146,0.90991,0.69625,1
147,147,0.90708,0.7,1
148,148,0.90457,0.7025,1
149,149,0.90605,0.70125,1
150,150,0.90377,0.70125,1
1,1,7.28275,0.2325,2
2,2,2.98887,0.2975,2
3,3,2.75824,0.31625,2
4,4,2.1182,0.345,2
5,5,1.80772,0.39625,2
6,6,1.90221,0.34625,2
7,7,2.13432,0.30125,2
8,8,1.85155,0.32125,2
9,9,1.83604,0.3475,2
10,10,1.74105,0.38875,2
11,11,1.64165,0.4225,2
12,12,1.53674,0.465,2
13,13,1.48396,0.48875,2
14,14,1.51826,0.46875,2
15,15,1.47259,0.49375,2
16,16,1.51223,0.46875,2
17,17,1.56884,0.44125,2
18,18,1.50725,0.4775,2
19,19,1.5079,0.48375,2
20,20,1.45611,0.49,2
21,21,1.41787,0.50625,2
22,22,1.38634,0.52125,2
23,23,1.41994,0.5025,2
24,24,1.37517,0.51125,2
25,25,1.34289,0.5275,2
26,26,1.31897,0.53875,2
27,27,1.34637,0.525,2
28,28,1.37884,0.51,2
29,29,1.33829,0.5225,2
30,30,1.31782,0.535,2
31,31,1.3039,0.55,2
32,32,1.32837,0.54125,2
33,33,1.31172,0.5425,2
34,34,1.30028,0.54625,2
35,35,1.32469,0.5425,2
36,36,1.31086,0.545,2
37,37,1.33514,0.535,2
38,38,1.32463,0.5425,2
39,39,1.31739,0.545,2
40,40,1.34065,0.5375,2
41,41,1.32664,0.54125,2
42,42,1.35047,0.53125,2
43,43,1.3758,0.51625,2
44,44,1.36219,0.51625,2
45,45,1.3465,0.5325,2
46,46,1.33687,0.54,2
47,47,1.35939,0.5275,2
48,48,1.38299,0.51625,2
49,49,1.40749,0.50625,2
50,50,1.3962,0.50625,2
51,51,1.38237,0.51,2
52,52,1.36935,0.51,2
53,53,1.33243,0.53,2
54,54,1.30112,0.53375,2
55,55,1.28877,0.54625,2
56,56,1.30688,0.5375,2
57,57,1.29467,0.54,2
58,58,1.28346,0.5475,2
59,59,1.30101,0.53625,2
60,60,1.27356,0.545,2
61,61,1.26581,0.55375,2
62,62,1.25575,0.55875,2
63,63,1.23594,0.56375,2
64,64,1.2281,0.56875,2
65,65,1.22331,0.575,2
66,66,1.2366,0.57,2
67,67,1.22886,0.56875,2
68,68,1.22195,0.5725,2
69,69,1.21504,0.575,2
70,70,1.21016,0.57875,2
71,71,1.20643,0.58125,2
72,72,1.1904,0.585,2
73,73,1.18484,0.59375,2
74,74,1.1717,0.59625,2
75,75,1.16565,0.59875,2
76,76,1.16332,0.595,2
77,77,1.17275,0.5925,2
78,78,1.16779,0.6,2
79,79,1.16202,0.60125,2
80,80,1.15798,0.605,2
81,81,1.16691,0.605,2
82,82,1.16428,0.6025,2
83,83,1.16056,0.605,2
84,84,1.15535,0.6125,2
85,85,1.14314,0.60625,2
86,86,1.14124,0.6125,2
87,87,1.13636,0.615,2
88,88,1.13346,0.61375,2
89,89,1.14081,0.61375,2
90,90,1.14853,0.615,2
91,91,1.13703,0.60875,2
92,92,1.13521,0.60875,2
93,93,1.14276,0.60625,2
94,94,1.13214,0.6075,2
95,95,1.1274,0.61375,2
96,96,1.11773,0.61375,2
97,97,1.11387,0.62,2
98,98,1.12105,0.615,2
99,99,1.11161,0.615,2
100,100,1.10306,0.6175,2
101,101,1.11005,0.61625,2
102,102,1.10609,0.6225,2
103,103,1.10435,0.61875,2
104,104,1.10058,0.62125,2
105,105,1.09226,0.6175,2
106,106,1.08913,0.62375,2
107,107,1.08588,0.62875,2
108,108,1.08311,0.6275,2
109,109,1.08936,0.62625,2
110,110,1.08683,0.62875,2
111,111,1.07918,0.6325,2
112,112,1.08539,0.62875,2
113,113,1.08282,0.6275,2
114,114,1.08095,0.62875,2
115,115,1.07775,0.635,2
116,116,1.07561,0.6325,2
117,117,1.08154,0.62875,2
118,118,1.07925,0.63125,2
119,119,1.07748,0.6375,2
120,120,1.07531,0.63375,2
121,121,1.08117,0.63,2
122,122,1.07357,0.63125,2
123,123,1.0705,0.6325,2
124,124,1.06777,0.63375,2
125,125,1.06629,0.64125,2
126,126,1.05918,0.64,2
127,127,1.05736,0.6375,2
128,128,1.05095,0.6375,2
129,129,1.04498,0.6375,2
130,130,1.03931,0.64,2
131,131,1.0343,0.64125,2
132,132,1.03231,0.64,2
133,133,1.03021,0.64125,2
134,134,1.02898,0.64375,2
135,135,1.02798,0.64,2
136,136,1.03234,0.64,2
137,137,1.02773,0.6425,2
138,138,1.02308,0.6425,2
139,139,1.02235,0.64375,2
140,140,1.02042,0.64125,2
141,141,1.02452,0.64,2
142,142,1.02047,0.6425,2
143,143,1.01988,0.645,2
144,144,1.01757,0.6425,2
145,145,1.01715,0.6425,2
146,146,1.0134,0.6425,2
147,147,1.01325,0.63875,2
148,148,1.01074,0.64375,2
149,149,1.0144,0.64125,2
150,150,1.0182,0.64,2
1,1,5.26774,0.25875,3
2,2,5.65708,0.27625,3
3,3,3.57664,0.28125,3
4,4,2.22363,0.405,3
5,5,2.23063,0.3475,3
6,6,1.94322,0.39,3
7,7,1.85147,0.41875,3
8,8,1.71097,0.445,3
9,9,1.63703,0.4525,3
10,10,1.63575,0.4625,3
11,11,1.65467,0.47625,3
12,12,1.57597,0.4875,3
13,13,1.50805,0.495,3
14,14,1.45772,0.49875,3
15,15,1.46203,0.50125,3
16,16,1.41322,0.50625,3
17,17,1.38458,0.51,3
18,18,1.35348,0.54125,3
19,19,1.32669,0.545,3
20,20,1.32747,0.52875,3
21,21,1.31378,0.52,3
22,22,1.32407,0.5175,3
23,23,1.33956,0.51375,3
24,24,1.30434,0.53375,3
25,25,1.31959,0.52,3
26,26,1.29196,0.55,3
27,27,1.30683,0.5375,3
28,28,1.28572,0.5575,3
29,29,1.3001,0.54875,3
30,30,1.28757,0.5525,3
31,31,1.27978,0.55625,3
32,32,1.26945,0.55375,3
33,33,1.28511,0.54,3
34,34,1.27915,0.53625,3
35,35,1.2567,0.5575,3
36,36,1.24117,0.585,3
37,37,1.25351,0.56875,3
38,38,1.24922,0.5725,3
39,39,1.22195,0.5825,3
40,40,1.21034,0.60125,3
41,41,1.20687,0.605,3
42,42,1.19689,0.61375,3
43,43,1.17604,0.6175,3
44,44,1.16772,0.62,3
45,45,1.17461,0.615,3
46,46,1.18309,0.60875,3
47,47,1.16504,0.61375,3
48,48,1.15888,0.60625,3
49,49,1.1538,0.61875,3
50,50,1.14894,0.61375,3
51,51,1.15695,0.605,3
52,52,1.16612,0.5975,3
53,53,1.1501,0.6075,3
54,54,1.13999,0.61625,3
55,55,1.14778,0.61125,3
56,56,1.13941,0.6225,3
57,57,1.14701,0.6125,3
58,58,1.14285,0.6125,3
59,59,1.12993,0.62,3
60,60,1.12765,0.62,3
61,61,1.11713,0.62375,3
62,62,1.11111,0.63375,3
63,63,1.10698,0.63875,3
64,64,1.10411,0.63875,3
65,65,1.10264,0.645,3
66,66,1.0957,0.65125,3
67,67,1.09558,0.65375,3
68,68,1.09639,0.65,3
69,69,1.098,0.6475,3
70,70,1.09282,0.64625,3
71,71,1.08858,0.6475,3
72,72,1.09119,0.64625,3
73,73,1.08009,0.64625,3
74,74,1.0764,0.64375,3
75,75,1.07559,0.64875,3
76,76,1.0781,0.65,3
77,77,1.06814,0.6475,3
78,78,1.0646,0.64625,3
79,79,1.06183,0.64875,3
80,80,1.05894,0.6525,3
81,81,1.06147,0.64625,3
82,82,1.05973,0.64875,3
83,83,1.0628,0.6475,3
84,84,1.06014,0.65,3
85,85,1.0581,0.6475,3
86,86,1.05623,0.6525,3
87,87,1.05485,0.6525,3
88,88,1.0538,0.6575,3
89,89,1.05336,0.6625,3
90,90,1.05264,0.6625,3
91,91,1.05108,0.66125,3
92,92,1.05007,0.6625,3
93,93,1.04963,0.66125,3
94,94,1.03862,0.66375,3
95,95,1.03839,0.66625,3
96,96,1.03911,0.665,3
97,97,1.02896,0.66625,3
98,98,1.0278,0.6675,3
99,99,1.0277,0.6725,3
100,100,1.02805,0.6675,3
101,101,1.02796,0.66375,3
102,102,1.0285,0.6625,3
103,103,1.02879,0.6675,3
104,104,1.02945,0.66875,3
105,105,1.02813,0.67,3
106,106,1.02917,0.66875,3
107,107,1.02828,0.66625,3
108,108,1.02768,0.67125,3
109,109,1.02725,0.66625,3
110,110,1.02843,0.67,3
111,111,1.02816,0.67125,3
112,112,1.02751,0.67125,3
113,113,1.02727,0.66875,3
114,114,1.0273,0.6675,3
115,115,1.02766,0.66875,3
116,116,1.02889,0.6675,3
117,117,1.03036,0.66625,3
118,118,1.03202,0.66625,3
119,119,1.03394,0.6675,3
120,120,1.03296,0.67,3
121,121,1.0325,0.67125,3
122,122,1.03131,0.67,3
123,123,1.03181,0.66875,3
124,124,1.03257,0.6675,3
125,125,1.03133,0.66875,3
126,126,1.03303,0.6725,3
127,127,1.03491,0.67375,3
128,128,1.03701,0.67375,3
129,129,1.02557,0.6725,3
130,130,1.02618,0.6725,3
131,131,1.02702,0.6725,3
132,132,1.02577,0.6725,3
133,133,1.0247,0.67625,3
134,134,1.01417,0.67625,3
135,135,1.01492,0.67625,3
136,136,1.01382,0.675,3
137,137,1.01298,0.67625,3
138,138,1.01243,0.67625,3
139,139,1.01213,0.675,3
140,140,1.01243,0.67875,3
141,141,1.00316,0.67875,3
142,142,1.00203,0.68125,3
143,143,1.00358,0.68125,3
144,144,1.00258,0.68125,3
145,145,1.002,0.685,3
146,146,1.00156,0.68,3
147,147,1.00302,0.6825,3
148,148,1.0028,0.68,3
149,149,0.99432,0.68125,3
150,150,0.98622,0.6825,3
1,1,4.75611,0.23875,4
2,2,2.29249,0.28,4
3,3,2.25286,0.36625,4
4,4,2.24185,0.33,4
5,5,2.41238,0.29,4
6,6,2.59006,0.3225,4
7,7,2.19897,0.305,4
8,8,2.02216,0.425,4
9,9,2.11399,0.415,4
10,10,2.20993,0.3975,4
11,11,2.15289,0.43625,4
12,12,2.15306,0.45,4
13,13,2.07554,0.47125,4
14,14,1.90528,0.48,4
15,15,1.94266,0.475,4
16,16,1.89823,0.485,4
17,17,1.79305,0.4825,4
18,18,1.69583,0.49625,4
19,19,1.71577,0.49625,4
20,20,1.75344,0.49,4
21,21,1.79821,0.49,4
22,22,1.69667,0.5,4
23,23,1.68146,0.51,4
24,24,1.60202,0.52125,4
25,25,1.53854,0.53875,4
26,26,1.53223,0.54125,4
27,27,1.532,0.55125,4
28,28,1.5611,0.53875,4
29,29,1.50558,0.55,4
30,30,1.45545,0.555,4
31,31,1.48209,0.54625,4
32,32,1.48413,0.54875,4
33,33,1.44449,0.56,4
