sync_updates_per_s,async_updates_per_s,repetition,ssp_updates_per_s,ssp_bound
9.95,156.59,1,12.23,2
9.95,156.59,1,14.58,5
9.95,156.59,1,18.57,10
9.95,156.59,1,26.42,20
9.93,155.96,2,12.23,2
9.93,155.96,2,14.59,5
9.93,155.96,2,18.53,10
9.93,155.96,2,26.43,20
9.95,153.07,3,12.24,2
9.95,153.07,3,14.61,5
9.95,153.07,3,18.57,10
9.95,153.07,3,26.42,20
9.92,153.65,4,12.22,2
9.92,153.65,4,14.59,5
9.92,153.65,4,18.56,10
9.92,153.65,4,26.44,20
9.95,152.86,5,12.24,2
9.95,152.86,5,14.61,5
9.95,152.86,5,18.56,10
9.95,152.86,5,26.36,20
9.91,156.19,6,12.24,2
9.91,156.19,6,14.6,5
9.91,156.19,6,18.54,10
9.91,156.19,6,26.42,20
9.94,154.2,7,12.24,2
9.94,154.2,7,14.59,5
9.94,154.2,7,18.54,10
9.94,154.2,7,26.44,20
9.92,155.82,8,12.24,2
9.92,155.82,8,14.61,5
9.92,155.82,8,18.53,10
9.92,155.82,8,26.4,20
9.93,154.88,9,12.24,2
9.93,154.88,9,14.61,5
9.93,154.88,9,18.56,10
9.93,154.88,9,26.46,20
9.95,155.63,10,12.25,2
9.95,155.63,10,14.61,5
9.95,155.63,10,18.53,10
9.95,155.63,10,26.46,20
