round,loss,accuracy,alpha0,method,repetition
1,4.58258,0.285,,afl,1
2,2.28713,0.38,,afl,1
3,1.87377,0.46125,,afl,1
4,2.05945,0.36875,,afl,1
5,1.92655,0.4275,,afl,1
6,2.03555,0.38125,,afl,1
7,2.21783,0.34625,,afl,1
8,2.05967,0.38375,,afl,1
9,1.87761,0.47,,afl,1
10,1.69156,0.54375,,afl,1
11,1.59634,0.58875,,afl,1
12,1.62726,0.57,,afl,1
13,1.64479,0.5625,,afl,1
14,1.59118,0.59125,,afl,1
15,1.6206,0.5625,,afl,1
16,1.51011,0.54,,afl,1
17,1.41832,0.55,,afl,1
18,1.35298,0.555,,afl,1
19,1.3112,0.5525,,afl,1
20,1.34533,0.53125,,afl,1
21,1.303,0.5425,,afl,1
22,1.27804,0.56625,,afl,1
23,1.25015,0.56625,,afl,1
24,1.2265,0.58125,,afl,1
25,1.21025,0.5925,,afl,1
26,1.22857,0.58,,afl,1
27,1.20428,0.58125,,afl,1
28,1.19378,0.5875,,afl,1
29,1.21178,0.5775,,afl,1
30,1.23266,0.5675,,afl,1
31,1.20986,0.58375,,afl,1
32,1.19582,0.5925,,afl,1
33,1.1887,0.59875,,afl,1
34,1.17156,0.6025,,afl,1
35,1.15176,0.60125,,afl,1
36,1.1481,0.61375,,afl,1
37,1.1569,0.605,,afl,1
38,1.14282,0.605,,afl,1
39,1.12682,0.60625,,afl,1
40,1.13727,0.605,,afl,1
41,1.12515,0.60625,,afl,1
42,1.13651,0.6,,afl,1
43,1.12626,0.60625,,afl,1
44,1.11861,0.5975,,afl,1
45,1.11332,0.6,,afl,1
46,1.10937,0.6,,afl,1
47,1.10249,0.61,,afl,1
48,1.09861,0.6075,,afl,1
49,1.09438,0.6175,,afl,1
50,1.09316,0.61625,,afl,1
51,1.09047,0.6175,,afl,1
52,1.09302,0.61625,,afl,1
53,1.09258,0.61625,,afl,1
54,1.09391,0.62,,afl,1
55,1.09165,0.62,,afl,1
56,1.09452,0.62375,,afl,1
57,1.07551,0.61875,,afl,1
58,1.07381,0.62,,afl,1
59,1.05776,0.6175,,afl,1
60,1.05996,0.62,,afl,1
61,1.04536,0.6275,,afl,1
62,1.04798,0.6225,,afl,1
63,1.0462,0.62,,afl,1
64,1.04543,0.62375,,afl,1
65,1.04415,0.62375,,afl,1
66,1.04391,0.62375,,afl,1
67,1.04437,0.62625,,afl,1
68,1.03076,0.625,,afl,1
69,1.03151,0.62875,,afl,1
70,1.03287,0.6225,,afl,1
71,1.03118,0.625,,afl,1
72,1.02916,0.6275,,afl,1
73,1.02761,0.63125,,afl,1
74,1.01606,0.63875,,afl,1
75,1.00637,0.6475,,afl,1
76,1.00663,0.645,,afl,1
77,0.99781,0.65375,,afl,1
78,0.9978,0.6575,,afl,1
79,0.99758,0.65375,,afl,1
80,0.99611,0.65375,,afl,1
