entries_written,entries_lost,trial,mechanism
3,3,1,sem_heir
3,0,1,com_heir
3,3,2,sem_heir
3,0,2,com_heir
3,3,3,sem_heir
3,0,3,com_heir
3,3,4,sem_heir
3,0,4,com_heir
3,3,5,sem_heir
3,0,5,com_heir
3,3,6,sem_heir
3,0,6,com_heir
3,3,7,sem_heir
3,0,7,com_heir
3,3,8,sem_heir
3,0,8,com_heir
3,3,9,sem_heir
3,0,9,com_heir
3,3,10,sem_heir
3,0,10,com_heir
3,3,11,sem_heir
3,0,11,com_heir
3,3,12,sem_heir
3,0,12,com_heir
3,3,13,sem_heir
3,0,13,com_heir
3,3,14,sem_heir
3,0,14,com_heir
3,3,15,sem_heir
3,0,15,com_heir
3,3,16,sem_heir
3,0,16,com_heir
3,3,17,sem_heir
3,0,17,com_heir
3,3,18,sem_heir
3,0,18,com_heir
3,3,19,sem_heir
3,0,19,com_heir
3,3,20,sem_heir
3,0,20,com_heir
