target,trial,recovery_ms
aggregator,1,0.284
aggregator,2,0.219
aggregator,3,0.228
aggregator,4,0.223
aggregator,5,0.232
aggregator,6,0.225
aggregator,7,0.23
aggregator,8,0.217
aggregator,9,0.217
aggregator,10,0.273
aggregator,11,0.22
aggregator,12,0.222
aggregator,13,0.211
aggregator,14,0.299
aggregator,15,0.32
aggregator,16,0.188
aggregator,17,0.243
aggregator,18,0.336
aggregator,19,0.228
aggregator,20,0.342
edge_node,1,0.352
edge_node,2,0.261
edge_node,3,0.207
edge_node,4,0.225
edge_node,5,0.213
edge_node,6,0.258
edge_node,7,0.344
edge_node,8,0.592
edge_node,9,2.184
edge_node,10,0.128
edge_node,11,0.119
edge_node,12,0.071
edge_node,13,0.076
edge_node,14,0.088
edge_node,15,0.33
edge_node,16,0.265
edge_node,17,0.106
edge_node,18,0.388
edge_node,19,0.133
edge_node,20,0.099
