trial,rounds_lost,rounds_trained,mechanism
1,5,5,sem_keeper
1,0,5,com_keeper
2,5,5,sem_keeper
2,0,5,com_keeper
3,5,5,sem_keeper
3,0,5,com_keeper
4,5,5,sem_keeper
4,0,5,com_keeper
5,5,5,sem_keeper
5,0,5,com_keeper
6,5,5,sem_keeper
6,0,5,com_keeper
7,5,5,sem_keeper
7,0,5,com_keeper
8,5,5,sem_keeper
8,0,5,com_keeper
9,5,5,sem_keeper
9,0,5,com_keeper
10,5,5,sem_keeper
10,0,5,com_keeper
11,5,5,sem_keeper
11,0,5,com_keeper
12,5,5,sem_keeper
12,0,5,com_keeper
13,5,5,sem_keeper
13,0,5,com_keeper
14,5,5,sem_keeper
14,0,5,com_keeper
15,5,5,sem_keeper
15,0,5,com_keeper
16,5,5,sem_keeper
16,0,5,com_keeper
17,5,5,sem_keeper
17,0,5,com_keeper
18,5,5,sem_keeper
18,0,5,com_keeper
19,5,5,sem_keeper
19,0,5,com_keeper
20,5,5,sem_keeper
20,0,5,com_keeper
