entries_written,entries_lost,scenario,trial
3,3,buffer_dono_morto,1
5,0,modelo_dono_morto,1
3,3,buffer_dono_morto,2
5,0,modelo_dono_morto,2
3,3,buffer_dono_morto,3
5,0,modelo_dono_morto,3
3,3,buffer_dono_morto,4
5,0,modelo_dono_morto,4
3,3,buffer_dono_morto,5
5,0,modelo_dono_morto,5
3,3,buffer_dono_morto,6
5,0,modelo_dono_morto,6
3,3,buffer_dono_morto,7
5,0,modelo_dono_morto,7
3,3,buffer_dono_morto,8
5,0,modelo_dono_morto,8
3,3,buffer_dono_morto,9
5,0,modelo_dono_morto,9
3,3,buffer_dono_morto,10
5,0,modelo_dono_morto,10
3,3,buffer_dono_morto,11
5,0,modelo_dono_morto,11
3,3,buffer_dono_morto,12
5,0,modelo_dono_morto,12
3,3,buffer_dono_morto,13
5,0,modelo_dono_morto,13
3,3,buffer_dono_morto,14
5,0,modelo_dono_morto,14
3,3,buffer_dono_morto,15
5,0,modelo_dono_morto,15
3,3,buffer_dono_morto,16
5,0,modelo_dono_morto,16
3,3,buffer_dono_morto,17
5,0,modelo_dono_morto,17
3,3,buffer_dono_morto,18
5,0,modelo_dono_morto,18
3,3,buffer_dono_morto,19
5,0,modelo_dono_morto,19
3,3,buffer_dono_morto,20
5,0,modelo_dono_morto,20
